GameNumber,RallyNumber,StrokeNumber,Frame,FrameNumber,Player,Stroke,ScoreP0,ScoreP1,Phase,is_serve,score,rally_position,band,rally_id,color,effectiveness,effectiveness_label,reason,rally_start_frame,rally_end_frame,rally_start_ms,rally_end_ms
2,21,4,frame_37913,37913,P0,overhead_drop_cross,6,14,championship,False,0.3,4,2,21,darkred,34.0,Bad (34%),overhead_drop_cross → backhand_netkeep → forehand_netkeep,37773,37971,1259100,1265700
2,21,6,frame_37971,37971,P0,forehand_netkeep,6,14,championship,False,0.7,6,4,21,green,,Winner,P0 hit a winner,37773,37971,1259100,1265700
2,22,5,frame_38602,38602,P0,backhand_netkeep,7,14,championship,False,0.7,5,4,22,red,,Error,P0 made an error,38456,38602,1281867,1286733
2,23,2,frame_38998,38998,P0,forehand_smash,7,15,championship,False,1.0,2,5,23,green,,Winner,P0 hit a winner,38934,38998,1297800,1299933
2,24,3,frame_39499,39499,P0,overhead_clear,8,15,championship,False,0.45,3,3,24,red,,Error,P0 made an error,39418,39499,1313933,1316633
2,25,2,frame_40101,40101,P0,overhead_drop,8,16,championship,False,0.3,2,2,25,darkred,26.0,Bad (26%),overhead_drop → forehand_netkeep → backhand_lift_cross,40043,40406,1334767,1346867
2,25,6,frame_40236,40236,P0,forehand_smash,8,16,championship,False,1.0,6,5,25,green,100.0,Excellent (100%),forehand_smash → backhand_defense → forehand_lift,40043,40406,1334767,1346867
2,25,10,frame_40363,40363,P0,forehand_smash,8,16,championship,False,1.0,10,5,25,green,100.0,Excellent (100%),forehand_smash → backhand_defense_cross → backhand_netkeep,40043,40406,1334767,1346867
2,25,12,frame_40406,40406,P0,backhand_netkeep,8,16,championship,False,0.7,12,4,25,red,,Error,P0 made an error,40043,40406,1334767,1346867
2,28,2,frame_44322,44322,P0,forehand_lift,9,18,championship,False,0.4,2,3,28,green,82.0,Excellent (82%),forehand_lift → backhand_clear → forehand_smash,44287,44381,1476233,1479367
2,30,2,frame_45314,45314,P0,overhead_smash,10,19,championship,False,1.0,2,5,30,green,98.0,Excellent (98%),overhead_smash → forehand_defense_cross → forehand_lift,45252,45446,1508400,1514867
2,30,4,frame_45361,45361,P0,forehand_lift,10,19,championship,False,0.4,4,3,30,red,42.0,Poor (42%),forehand_lift → overhead_clear_cross → overhead_drop,45252,45446,1508400,1514867
2,32,3,frame_46308,46308,P0,forehand_lift,11,20,championship,False,0.4,3,3,32,red,42.0,Poor (42%),forehand_lift → overhead_clear → forehand_drop,46223,46417,1540767,1547233
2,32,5,frame_46357,46357,P0,forehand_drop,11,20,championship,False,0.3,5,2,32,darkred,34.0,Bad (34%),forehand_drop → backhand_netkeep_cross → backhand_netkeep,46223,46417,1540767,1547233
2,32,7,frame_46417,46417,P0,backhand_netkeep,11,20,championship,False,0.7,7,4,32,red,,Error,P0 made an error,46223,46417,1540767,1547233
3,2,4,frame_47320,47320,P0,forehand_drive,0,1,start,False,0.6,4,4,2,green,90.0,Excellent (90%),forehand_drive → backhand_defense_cross → backhand_lift,47200,47628,1573333,1587600
3,2,6,frame_47375,47375,P0,backhand_lift,0,1,start,False,0.4,6,3,2,red,40.0,Poor (40%),backhand_lift → forehand_clear → overhead_drop_cross,47200,47628,1573333,1587600
3,2,8,frame_47441,47441,P0,overhead_drop_cross,0,1,start,False,0.3,8,2,2,darkred,29.0,Bad (29%),overhead_drop_cross → backhand_netkeep → forehand_netkeep,47200,47628,1573333,1587600
3,2,10,frame_47498,47498,P0,forehand_netkeep,0,1,start,False,0.7,10,4,2,green,88.0,Excellent (88%),forehand_netkeep → backhand_lift → forehand_smash,47200,47628,1573333,1587600
3,2,12,frame_47579,47579,P0,forehand_smash,0,1,start,False,1.0,12,5,2,green,100.0,Excellent (100%),forehand_smash → backhand_defense_cross → backhand_lift_cross,47200,47628,1573333,1587600
3,2,14,frame_47628,47628,P0,backhand_lift_cross,0,1,start,False,0.4,14,3,2,red,,Error,P0 made an error,47200,47628,1573333,1587600
3,3,2,frame_48081,48081,P0,backhand_netkeep,0,2,start,False,0.7,2,4,3,red,42.0,Poor (42%),backhand_netkeep → forehand_netkeep_cross → forehand_lift,48043,48345,1601433,1611500
3,3,4,frame_48143,48143,P0,forehand_lift,0,2,start,False,0.4,4,3,3,darkred,2.0,Bad (2%),forehand_lift → overhead_smash → forehand_defense,48043,48345,1601433,1611500
3,3,6,frame_48191,48191,P0,forehand_defense,0,2,start,False,0.1,6,1,3,darkred,29.0,Bad (29%),forehand_defense → backhand_lift_cross → overhead_clear_cross,48043,48345,1601433,1611500
3,3,8,frame_48251,48251,P0,overhead_clear_cross,0,2,start,False,0.45,8,3,3,darkred,0.0,Bad (0%),overhead_clear_cross → overhead_smash → forehand_defense,48043,48345,1601433,1611500
3,4,4,frame_50133,50133,P0,overhead_smash,0,3,start,False,1.0,4,5,4,red,,Error,P0 made an error,50024,50133,1667467,1671100
3,6,2,frame_51177,51177,P0,forehand_clear,0,5,start,False,0.45,2,3,6,red,42.0,Poor (42%),forehand_clear → overhead_clear → forehand_drop,51119,51498,1703967,1716600
3,6,4,frame_51241,51241,P0,forehand_drop,0,5,start,False,0.3,4,2,6,darkred,18.0,Bad (18%),forehand_drop → backhand_dribble → forehand_netkeep,51119,51498,1703967,1716600
3,6,8,frame_51383,51383,P0,forehand_clear,0,5,start,False,0.45,8,3,6,darkred,0.0,Bad (0%),forehand_clear → overhead_smash → forehand_defense,51119,51498,1703967,1716600
3,6,10,frame_51435,51435,P0,forehand_defense,0,5,start,False,0.1,10,1,6,darkred,12.0,Bad (12%),forehand_defense → backhand_netkeep → forehand_netkeep,51119,51498,1703967,1716600
3,6,12,frame_51498,51498,P0,forehand_netkeep,0,5,start,False,0.7,12,4,6,green,,Winner,P0 hit a winner,51119,51498,1703967,1716600
3,10,3,frame_53632,53632,P0,overhead_drop_cross,3,6,start,False,0.3,3,2,10,red,,Error,P0 made an error,53541,53632,1784700,1787733
3,11,4,frame_54091,54091,P0,forehand_smash,3,7,start,False,1.0,4,5,11,green,98.0,Excellent (98%),forehand_smash → backhand_defense_cross → backhand_lift,53978,54148,1799267,1804933
3,11,6,frame_54148,54148,P0,backhand_lift,3,7,start,False,0.4,6,3,11,red,,Error,P0 made an error,53978,54148,1799267,1804933
3,12,10,frame_56052,56052,P0,forehand_smash_cross,3,8,start,False,1.0,10,5,12,red,,Error,P0 made an error,55731,56052,1857700,1868400
3,13,2,frame_56499,56499,P0,forehand_clear,3,9,start,False,0.45,2,3,13,red,42.0,Poor (42%),forehand_clear → overhead_clear → forehand_drop,56439,56563,1881300,1885433
3,13,4,frame_56563,56563,P0,forehand_drop,3,9,start,False,0.3,4,2,13,red,,Error,P0 made an error,56439,56563,1881300,1885433
3,14,2,frame_56980,56980,P0,overhead_smash,3,10,start,False,1.0,2,5,14,green,,Winner,P0 hit a winner,56918,56980,1897267,1899333
3,17,3,frame_58382,58382,P0,overhead_clear_cross,6,10,start,False,0.45,3,3,17,red,42.0,Poor (42%),overhead_clear_cross → overhead_clear → forehand_drop_cross,58291,58450,1943033,1948333
3,17,5,frame_58450,58450,P0,forehand_drop_cross,6,10,start,False,0.3,5,2,17,green,,Winner,P0 hit a winner,58291,58450,1943033,1948333
3,18,3,frame_58960,58960,P0,forehand_defense_cross,7,10,start,False,0.1,3,1,18,darkred,26.0,Bad (26%),forehand_defense_cross → forehand_clear → overhead_drop_cross,58890,59010,1963000,1967000
3,18,5,frame_59010,59010,P0,overhead_drop_cross,7,10,start,False,0.3,5,2,18,red,,Error,P0 made an error,58890,59010,1963000,1967000
3,19,4,frame_59477,59477,P0,backhand_lift,7,11,start,False,0.4,4,3,19,darkred,18.0,Bad (18%),backhand_lift → flat_game → forehand_defense,59357,59538,1978567,1984600
3,20,2,frame_59977,59977,P0,forehand_clear,7,12,championship,False,0.45,2,3,20,red,42.0,Poor (42%),forehand_clear → overhead_clear → forehand_drop,59916,60426,1997200,2014200
3,20,4,frame_60036,60036,P0,forehand_drop,7,12,championship,False,0.3,4,2,20,red,42.0,Poor (42%),forehand_drop → backhand_lift_cross → overhead_clear_cross,59916,60426,1997200,2014200
3,20,12,frame_60310,60310,P0,forehand_lift,7,12,championship,False,0.4,12,3,20,green,76.0,Excellent (76%),forehand_lift → overhead_clear → forehand_smash,59916,60426,1997200,2014200
3,20,14,frame_60384,60384,P0,forehand_smash,7,12,championship,False,1.0,14,5,20,green,100.0,Excellent (100%),forehand_smash → backhand_defense → forehand_netkeep_cross,59916,60426,1997200,2014200
3,20,16,frame_60426,60426,P0,forehand_netkeep_cross,7,12,championship,False,0.7,16,4,20,red,,Error,P0 made an error,59916,60426,1997200,2014200
3,21,2,frame_61033,61033,P0,overhead_drop,7,13,championship,False,0.3,2,2,21,darkred,26.0,Bad (26%),overhead_drop → forehand_netkeep_cross → forehand_lift,60969,61355,2032300,2045167
3,21,4,frame_61099,61099,P0,forehand_lift,7,13,championship,False,0.4,4,3,21,darkred,2.0,Bad (2%),forehand_lift → overhead_smash → forehand_defense,60969,61355,2032300,2045167
3,21,6,frame_61154,61154,P0,forehand_defense,7,13,championship,False,0.1,6,1,21,darkred,8.0,Bad (8%),forehand_defense → backhand_netkeep → forehand_lift,60969,61355,2032300,2045167
3,21,8,frame_61214,61214,P0,forehand_lift,7,13,championship,False,0.4,8,3,21,darkred,0.0,Bad (0%),forehand_lift → overhead_smash → forehand_defense,60969,61355,2032300,2045167
3,21,10,frame_61269,61269,P0,forehand_defense,7,13,championship,False,0.1,10,1,21,darkred,12.0,Bad (12%),forehand_defense → backhand_netkeep_cross → backhand_netkeep,60969,61355,2032300,2045167
3,23,6,frame_62691,62691,P0,forehand_netkeep,7,15,championship,False,0.7,6,4,23,red,40.0,Poor (40%),forehand_netkeep → backhand_netkeep → forehand_nettap_cross,62501,62745,2083367,2091500
3,23,8,frame_62745,62745,P0,forehand_nettap_cross,7,15,championship,False,0.5,8,3,23,green,,Winner,P0 hit a winner,62501,62745,2083367,2091500
